state,district,season,crop,mean_yield,median_yield,max_yield,min_yield,yield_std,mean_area,years_cultivated,yield_cv,yield_score,cv_scaled,stability_score,experience_score,historical_score
Haryana,ROHTAK,Whole Year ,Sannhamp,0.8511689548393717,0.7692307692307693,1.6129032258064515,0.364963503649635,0.41603142333251275,143.28571428571428,7,0.4887765477901201,4.1035011078166104e-05,0.1302833585800218,0.8697166414199782,0.2727272727272727,0.3154809644769871
Haryana,ROHTAK,Whole Year ,Sugarcane,54.1922830720249,54.1077738515901,76.27433628318585,6.710283509478275,17.92002176425256,11007.565217391304,23,0.33067478888895935,0.0028964942493746645,0.08814134452435388,0.9118586554756462,1.0,0.4750058437673812
Haryana,ROHTAK,Whole Year ,Sweet potato,20.0,20.0,20.0,20.0,0.0,5.0,1,0.0,0.001070547151572107,0.0,1.0,0.0,0.300535273575786
Haryana,SIRSA,Kharif     ,Arhar/Tur,1.2170910103060508,1.1111111111111112,2.1739130434782608,0.819672131147541,0.3952235435397849,123.88888888888889,9,0.3247280114577476,5.933744913139172e-05,0.08655623136790427,0.9134437686320958,0.36363636363636365,0.34679007204146717
Haryana,SIRSA,Kharif     ,Bajra,1.806219718033599,1.7964071856287425,3.446399419553782,0.8547008547008547,0.6436114923238199,4033.304347826087,23,0.3563306755528662,9.60245218159263e-05,0.09497991952766491,0.9050200804723351,1.0,0.47155403640260846
Haryana,SIRSA,Kharif     ,Castor seed,0.8653126967411513,0.8570936639118457,1.6666666666666667,0.4339440694310511,0.359586604260188,1312.357142857143,14,0.4155568335174381,4.573871875036776e-05,0.110766648269668,0.889233351730332,0.5909090909090909,0.38497469306029297
Haryana,SIRSA,Kharif     ,Cotton(lint),3.1795092512934544,3.696612945175229,4.524008953373368,0.8236235435315298,1.1828665730265604,190959.22727272726,22,0.37202803311402827,0.00019775133655818646,0.09916404921462743,0.9008359507853726,0.9545454545454546,0.46125875181298176
Haryana,SIRSA,Kharif     ,Groundnut,1.0026533328678608,0.994197350832422,1.24,0.7782101167315175,0.17154855605813216,1020.1363636363636,22,0.17109458517178286,5.307851408031086e-05,0.045605251094426674,0.9543947489055733,0.9545454545454546,0.47725405483780303
Haryana,SIRSA,Kharif     ,Guar seed,0.8212427925135947,0.8230302628525971,0.8406940063091483,0.800004108379039,0.020403755439876426,57473.0,3,0.02484497352777518,4.39151471336432e-05,0.006622426157034435,0.9933775738429655,0.0909090909090909,0.31621704790827465
Haryana,SIRSA,Kharif     ,Jowar,0.5,0.5,0.5,0.5,0.0,60.0,1,0.0,2.662184111125093e-05,0.0,1.0,0.0,0.3000133109205556
Haryana,SIRSA,Kharif     ,Maize,2.7777777777777772,3.0,3.333333333333333,2.0,0.6938886664887107,153.33333333333334,3,0.24979991993593592,0.00016045841937546327,0.0665841532074672,0.9334158467925328,0.0909090909090909,0.2982868014292658
Haryana,SIRSA,Kharif     ,Moong(Green Gram),0.48882856797939933,0.4916520210896309,1.0,0.1777777777777777,0.19999219513554325,1407.2727272727273,22,0.40912542399521035,2.6174935138136686e-05,0.10905235645933516,0.8909476435406648,0.9545454545454546,0.4582064714388594
